"nch","z","interval_in_tau","sig","zmax"
500,1,0.2,FALSE,0.0112933776418747
500,1,0.5,FALSE,0.0125299429188258
500,1,1,FALSE,0.0148578441876044
500,10,0.01,FALSE,0.0188599720043811
500,10,0.02,FALSE,0.0146362926877211
500,10,0.05,FALSE,0.0159361958224517
500,10,0.1,FALSE,0.0195846917257271
500,10,0.2,FALSE,0.0170664435488314
500,10,0.5,FALSE,0.0101044965430523
500,10,1,FALSE,0.0124655346707383
1000,0.05,0.01,TRUE,0.026898604381691
1000,0.05,0.02,FALSE,0.0129038209304163
1000,0.05,0.05,FALSE,0.0112549163955793
1000,0.05,0.1,FALSE,0.0169053778444895
1000,0.05,0.2,FALSE,0.0191885621900158
1000,0.05,0.5,FALSE,0.0126793466452937
1000,0.05,1,FALSE,0.0237743539979365
1000,0.1,0.01,FALSE,0.0160701693048916
1000,0.1,0.02,FALSE,0.0148818939819999
1000,0.1,0.05,FALSE,0.0112601069719553
1000,0.1,0.1,FALSE,0.0166458045406141
1000,0.1,0.2,FALSE,0.0179392903678538
1000,0.1,0.5,FALSE,0.0176453984604133
1000,0.1,1,FALSE,0.0111432881979774
1000,0.2,0.01,FALSE,0.027198756065963
1000,0.2,0.02,FALSE,0.0120756819088958
1000,0.2,0.05,FALSE,0.00838050378762785
1000,0.2,0.1,FALSE,0.0109829249196082
1000,0.2,0.2,TRUE,0.0358206551807069
1000,0.2,0.5,FALSE,0.0129631260699622
1000,0.2,1,TRUE,0.0272871914276237
1000,0.5,0.01,FALSE,0.0207155560553854
1000,0.5,0.02,FALSE,0.0204670993908169
1000,0.5,0.05,FALSE,0.012961761563781
1000,0.5,0.1,FALSE,0.0111776991445805
1000,0.5,0.2,FALSE,0.012189606571943
1000,0.5,0.5,FALSE,0.0177767676982735
1000,0.5,1,FALSE,0.0139714876595844
1000,1,0.01,FALSE,0.0185569481647203
1000,1,0.02,FALSE,0.0107053597449302
1000,1,0.05,FALSE,0.0110737082145272
1000,1,0.1,FALSE,0.0114705571977613
1000,1,0.2,FALSE,0.0173357550937213
1000,1,0.5,FALSE,0.0301767517316851
1000,1,1,FALSE,0.0262487249310542
1000,10,0.01,FALSE,0.0110088188850383
1000,10,0.02,FALSE,0.0115618872935652
1000,10,0.05,FALSE,0.0175363182600315
1000,10,0.1,FALSE,0.00988611597968299
1000,10,0.2,FALSE,0.0162395280678375
1000,10,0.5,FALSE,0.0203838050529684
1000,10,1,FALSE,0.0187920920453106
1000,100,0.01,FALSE,0.0140864923012697
1000,100,0.02,FALSE,0.0124706583314335
1000,100,0.05,FALSE,0.0241287852036324
1000,100,0.1,FALSE,0.0241065128821466
1000,100,0.2,FALSE,0.0125799963060234
1000,100,0.5,FALSE,0.0138371366426395
1000,100,1,FALSE,0.0155697992563022
1000,1000,0.01,FALSE,0.0274532219092692
1000,1000,0.02,FALSE,0.00758651351308372
1000,1000,0.05,FALSE,0.0117355524621854
1000,1000,0.1,FALSE,0.0174505360189805
1000,1000,0.2,FALSE,0.0236484918947395
1000,1000,0.5,FALSE,0.00910835645191451
1000,1000,1,FALSE,0.0197976739862925
1000,10000,0.01,FALSE,0.0152617591793736
1000,10000,0.02,FALSE,0.0128498260047032
1000,10000,0.05,FALSE,0.0116910406757687
1000,10000,0.1,FALSE,0.00954005537269222
1000,10000,0.2,FALSE,0.0116673118567891
1000,10000,0.5,FALSE,0.0201476099321053
1000,10000,1,FALSE,0.00702411969861126
1000,1e+05,0.01,FALSE,0.0153427741697688
1000,1e+05,0.02,FALSE,0.00791062858537809
1000,1e+05,0.05,TRUE,0.0270338392550667
1000,1e+05,0.1,FALSE,0.0179718868076034
1000,1e+05,0.2,FALSE,0.015014282331493
1000,1e+05,0.5,FALSE,0.00752778055065051
1000,1e+05,1,TRUE,0.0229752538673553
1000,1e+06,0.01,FALSE,0.0140516635467201
1000,1e+06,0.02,FALSE,0.00903210115623566
1000,1e+06,0.05,FALSE,0.0226242000996221
1000,1e+06,0.1,FALSE,0.0130795410305725
1000,1e+06,0.2,FALSE,0.0119182401550238
1000,1e+06,0.5,FALSE,0.0243756920211456
1000,1e+06,1,FALSE,0.0204801488943676
2000,0.05,0.01,FALSE,0.0134952637801685
2000,0.05,0.02,FALSE,0.0214709940330201
2000,0.05,0.05,FALSE,0.017653781578192
2000,0.05,0.1,FALSE,0.00529456894745727
2000,0.05,0.2,FALSE,0.0249978840552235
2000,0.05,0.5,FALSE,0.0111125829018725
2000,0.05,1,FALSE,0.0148358271109524
2000,0.1,0.01,FALSE,0.0166524286831646
2000,0.1,0.02,FALSE,0.00343960652427635
2000,0.1,0.05,FALSE,0.0242326611283648
2000,0.1,0.1,FALSE,0.0137762832436631
2000,0.1,0.2,FALSE,0.0109606134763144
2000,0.1,0.5,FALSE,0.00535167297603192
2000,0.1,1,FALSE,0.0145411132289987
2000,0.2,0.01,FALSE,0.0213934674389254
2000,0.2,0.02,FALSE,0.0191293880626759
2000,0.2,0.05,FALSE,0.0198067332333036
2000,0.2,0.1,FALSE,0.0104449506603167
2000,0.2,0.2,FALSE,0.0234898738482962
2000,0.2,0.5,FALSE,0.0125659955989695
2000,0.2,1,FALSE,0.00792643963365231
2000,0.5,0.01,FALSE,0.0176366393151694
2000,0.5,0.02,FALSE,0.0228894600236188
2000,0.5,0.05,FALSE,0.0140165816464666
2000,0.5,0.1,FALSE,0.0241940773609394
2000,0.5,0.2,TRUE,0.0327033692311775
2000,0.5,0.5,FALSE,0.0123156198668667
2000,0.5,1,FALSE,0.0194823728573204
2000,1,0.01,FALSE,0.0156375630189566
2000,1,0.02,FALSE,0.0235259305028575
2000,1,0.05,FALSE,0.0138019143560538
2000,1,0.1,FALSE,0.0149869201313056
2000,1,0.2,FALSE,0.0137524492498527
2000,1,0.5,FALSE,0.0206651439789354
2000,1,1,FALSE,0.0161118506413738
2000,10,0.01,FALSE,0.0185407365844511
2000,10,0.02,TRUE,0.0250372048919358
2000,10,0.05,FALSE,0.0121718914932589
2000,10,0.1,FALSE,0.0102408447419793
2000,10,0.2,FALSE,0.0113954194992343
2000,10,0.5,FALSE,0.0143894690745718
2000,10,1,FALSE,0.0218191213135867
5000,0.05,0.01,FALSE,0.0126115282788676
5000,0.05,0.02,FALSE,0.0106866769522208
5000,0.05,0.05,FALSE,0.0219753044195972
5000,0.05,0.1,FALSE,0.0174737776089271
5000,0.05,0.2,FALSE,0.0206451301867403
5000,0.05,0.5,FALSE,0.0209555529328941
5000,0.05,1,FALSE,0.0124884859805793
5000,0.1,0.01,FALSE,0.00917336589351357
5000,0.1,0.02,FALSE,0.0185627440926429
5000,0.1,0.05,FALSE,0.0125726356220345
5000,0.1,0.1,FALSE,0.00920666022226456
5000,0.1,0.2,FALSE,0.00570103182892177
5000,0.1,0.5,FALSE,0.0123582312997561
5000,0.1,1,FALSE,0.00931928188636352
5000,0.2,0.01,FALSE,0.0134409102515162
5000,0.2,0.02,FALSE,0.0161188534937061
5000,0.2,0.05,FALSE,0.00823645083059811
5000,0.2,0.1,FALSE,0.0155761945267997
5000,0.2,0.2,FALSE,0.0252170341197046
5000,0.2,0.5,FALSE,0.0216133082417934
5000,0.2,1,TRUE,0.0331424641559055
5000,0.5,0.01,FALSE,0.0175598652371474
5000,0.5,0.02,FALSE,0.0205730624973132
5000,0.5,0.05,FALSE,0.0143172155408287
5000,0.5,0.1,FALSE,0.0167433173347743
