nch,z,interval,mag,share_soft,share_top2,share_stiff,c_soft,floor
50,0.05,0.2,0.09316762524973343,0.029837093847103167,0.7780500454615105,0.0012120780149838003,-0.016093232515878717,0.024380683056070034
50,0.05,0.5,0.08628383574106277,0.39668202659388885,0.933676779644698,0.016083496835898412,-0.05434388781487684,0.024232841046939558
50,0.05,1,0.05327209310313802,0.09685442392682309,0.24857802823533043,1.18245223151094e-4,-0.016579044302821602,0.02439196032779716
50,0.1,0.01,0.0832996706591548,0.019562082528800134,0.06312739045583204,0.002313145894446372,0.011650668028247494,0.02526163607229402
50,0.1,0.02,0.07998067919973678,0.004849002081650138,0.012791157451151747,0.0026730154001934348,0.005569436710884656,0.025074679926272957
50,0.1,0.05,0.07758244826068687,0.009145566708890817,0.12572096008819308,0.001333492361658314,-0.007419400097366369,0.025055202008003975
50,0.1,0.1,0.07385445935136664,9.373649502168223e-4,0.03361814953065869,0.006300589607385092,0.0022611588769265363,0.024921704550669985
50,0.1,0.2,0.09147930612478762,0.02973035061184906,0.7705411746759937,1.8703221966849008e-4,-0.015773311396893558,0.0244934122691862
50,0.1,0.5,0.05717468434017819,0.08028800993482023,0.8648982285149257,0.004189880944392512,-0.016200526252340215,0.024281320519918492
50,0.1,1,0.050961733747208776,0.20546899843383648,0.24167563495255975,0.16195942201689348,-0.023100285450079715,0.02447042525386125
50,0.2,0.01,0.08757672001872825,0.0028103041140338275,0.09645280320394359,3.3957592071108853e-4,0.004642643489075842,0.02493013751134921
50,0.2,0.02,0.06535942734642275,0.06848264413257421,0.0865807215618476,0.015618875006322015,0.01710403192684406,0.024937442644724316
50,0.2,0.05,0.061476146254949696,0.03187800233005575,0.08082165111517342,0.019735571591023984,0.010976204355487249,0.02480217392308043
50,0.2,0.1,0.05634553894326725,0.016017047922068307,0.034006309921338816,0.018872751348872955,0.0071310055546707435,0.024685521821975996
50,0.2,0.2,0.059366689958233625,7.008552997308612e-4,0.5279115721757325,0.003611080017881476,0.0015716542671036229,0.024625630701649096
50,0.2,0.5,0.04968107352576881,3.7474637074004696e-5,0.8401387229107972,8.7778779000646e-5,-3.0413029937237883e-4,0.024343149696467347
50,0.2,1,0.03134893910110273,0.14621261013520265,0.1505399066863492,0.008428371049032527,-0.0119871313234654,0.024757117331316417
50,0.5,0.01,0.0503224543254805,2.9573843097924717e-4,7.376887338278956e-4,0.023802441658973522,8.653976201778323e-4,0.024689791365057452
50,0.5,0.02,0.050262206848755625,8.731142270337811e-4,0.10236839058818491,0.0017364327383992725,0.0014851731378253486,0.02467617776704933
50,0.5,0.05,0.038667812164718755,0.33119593998271807,0.33131157924312027,0.05956250036584158,0.022253181105416943,0.02467492543563373
50,0.5,0.1,0.06046464528073444,0.010065191746402235,0.05633743195136333,0.0033582850552743323,0.006066141489889849,0.02459837241361607
50,0.5,0.2,0.06675195596919231,0.0046059486141485605,0.32662316011658915,0.021968901402521907,0.004530264302857302,0.024484571618434228
50,0.5,0.5,0.04789158533401874,0.02246347581463076,0.6790964459385039,0.011140682711803209,0.00717790476148477,0.024408347496403002
50,0.5,1,0.05050789073637164,0.2740115206840336,0.6512302073559234,0.0021720692844754384,-0.026438915921522897,0.024246059287096253
50,1,0.01,0.0225350421842456,0.26373031918026063,0.2760728224654473,0.04357129535619074,0.0115727988759634,0.024550687316943466
50,1,0.02,0.047504035652197255,1.7310767360862365e-5,0.005029043317396514,0.04095927322298673,1.9764628977628e-4,0.02462551755411855
50,1,0.05,0.018750747180620895,0.08792055499012749,0.08924619692198651,0.05178001743743685,0.005559859137861173,0.02450531043504627
50,1,0.1,0.020941751791751197,0.16990518185666362,0.35956964150809484,0.04473631069655409,0.008632097162380663,0.024661610400464207
50,1,0.2,0.04921681733828478,0.00927103962566402,0.09350568976355061,0.009619525109721274,0.00473890218719036,0.02439438933544187
50,1,0.5,0.037991892370019265,0.04959190243636965,0.3200944581669733,0.16542187172825093,0.00846050547222538,0.024489301875271336
50,1,1,0.028057343343299044,0.22894777327262641,0.5121096585433447,0.16660185661554888,-0.013425014354103983,0.02450262175771304
50,10,0.01,0.03780936010980031,0.14835042540926632,0.4730593685340427,0.047906361984550644,0.014562761111996288,0.024322301827783263
50,10,0.02,0.027920126185177547,0.25168441585238155,0.266245216419019,0.3507494908028344,0.014007013244917483,0.024437545706776163
50,10,0.05,0.02759076312536569,0.8759873886151891,0.91369855912119,0.001487015094280943,0.02582335344994024,0.02458211652375919
50,10,0.1,0.027273822374350352,0.013432913165113167,0.04796896032973202,0.8235848144576116,0.0031610481516754258,0.02434347086441727
50,10,0.2,0.015212608504633369,0.09734153401696374,0.09754638522052204,0.02204063229902134,-0.004746273734419817,0.02432392378093149
50,10,0.5,0.021172251055827717,0.21675326624937122,0.305948930516863,0.0073529125721878506,-0.009857115840565303,0.02438291705442823
50,10,1,0.019121245369953587,0.02555452828697919,0.11682764167132204,0.2690468946883406,0.003056680939741014,0.024479015663708976
100,0.05,0.01,0.061177171764530136,0.05130221593985108,0.08515804458666688,0.03196117091353686,0.013856624804878157,0.025443541842359703
100,0.05,0.02,0.05536508049890585,0.005169881312394142,0.04748843040996427,0.0566518033893377,0.003980853745697899,0.02523098045538736
100,0.05,0.05,0.060308443026120026,0.01149995786506314,0.09456651711239426,0.0392996511621701,0.006467348158509113,0.024956201278469068
100,0.05,0.1,0.04534615683542868,0.0038874278092038126,0.5291014351793555,0.002615831699115819,0.002827298444929218,0.02492418451104292
100,0.05,0.2,0.03790108702103521,0.013541441325138402,0.7296227606603636,0.007738443562397497,-0.004410462278840579,0.024656531199657813
100,0.05,0.5,0.01840304108551591,0.43475014833695447,0.7198431400654657,0.1492154923110731,0.01213415295672379,0.024413074405334894
100,0.05,1,0.04024567778641665,0.027595172992970218,0.2879546160555191,0.006017453605355588,0.006685529451569598,0.02444401141840335
100,0.1,0.01,0.04602816852272923,0.010488519404333665,0.23217743538630686,0.025363903411839247,0.004713904583548117,0.025164708569033814
100,0.1,0.02,0.05682946922123042,0.020064060085602305,0.18499992738523185,0.03414886588925273,0.008049761434956686,0.02505531596830855
100,0.1,0.05,0.044500839801002556,0.005874792432991455,0.04859700569996302,0.0606854814553462,0.003410864526041719,0.024784050805376885
100,0.1,0.1,0.028230340600038307,0.1616150281965014,0.662059037914092,0.017376388149592067,0.011348984140658398,0.024632556897395904
100,0.1,0.2,0.05225035281323447,0.11276401217584553,0.3155926896844404,0.02370198006083693,0.017545853028545066,0.024430101119786808
100,0.1,0.5,0.037636482710817,0.0037526797512082684,0.3369562021936564,0.036698852434733385,-0.0023055778009401606,0.024284812271133535
100,0.1,1,0.01979390425729657,0.2413474559554559,0.5241266738570729,0.021020792583155597,-0.009724176386606578,0.024544845571385806
100,0.2,0.01,0.030554690209204833,0.046239445611489904,0.06697211213877476,0.012764480850750015,0.006570284782666772,0.02486777860623231
100,0.2,0.02,0.0400928110223089,0.004108600477006454,0.17508213855540974,0.026427745659951152,0.002569883660220492,0.024806689512377838
100,0.2,0.05,0.041539274764452704,0.0012831740160837797,0.12181620306194565,0.04821004735580049,0.0014879957413096757,0.024693070375156487
100,0.2,0.1,0.03326369779588358,0.13994292073234593,0.22306787815293405,0.046809052320509546,0.012443598597092636,0.02468969934214345
100,0.2,0.2,0.020235631317345765,0.027279219506159896,0.21031669002025596,0.2949224387086988,0.0033422022589359485,0.024499987954620796
