nch,z,anchor,dir,interval,dAI,ebar,aniso,zmax,znrm
10,1,pool,1c2ae6f,0.5,0.1747154951984924,-0.0012445341030266459,0.0713164439565575,0.0019564988671185533,0.0028209985590574205
10,1,pool,1c2ae6f,1,0.34062651945905204,0.03552710829640341,0.1344453874350484,0.0011080669448566294,0.0015038125680145158
10,1,sim,1c2ae6f,0.01,0.2745143983434596,-0.013273761515513415,0.1112811742308998,0.07609334561899395,0.08566868556397429
10,1,sim,1c2ae6f,0.02,0.22326283528382268,-0.010537661791855493,0.09053548081897152,0.07569435961010815,0.0783462009626088
10,1,sim,1c2ae6f,0.05,0.25097627425269015,-0.006168203910927097,0.10227480123083503,0.04612420519285093,0.05874354471298838
10,1,sim,1c2ae6f,0.1,0.23883954791639367,-0.00990649119243487,0.0970012871413163,0.06580913158389898,0.0734802065582556
10,1,sim,1c2ae6f,0.2,0.18313593446749377,-0.009617374383665585,0.07414378727970475,0.0445301378314522,0.0719203639710649
10,1,sim,1c2ae6f,0.5,0.17343326652544425,-0.01506733639557394,0.06918206677714182,0.07051929541325241,0.08590565043053554
10,1,sim,1c2ae6f,1,0.2983811436133155,-3.6780440090625373e-4,0.12181303651055174,0.06107730875881396,0.07216725832026928
10,10,pool,1c2ae6f,0.01,0.08048252736149468,0.01309367450127819,0.030135171419293443,0.001293012135031898,0.0020142789336429186
10,10,pool,1c2ae6f,0.02,0.07170347757658466,-0.0012191364996148666,0.02924742419925676,0.0016851483348675968,0.002982846072497264
10,10,pool,1c2ae6f,0.05,0.10472025063768958,0.006010607560520719,0.04232723015219437,6.231053221486327e-4,9.460989816098726e-4
10,10,pool,1c2ae6f,0.1,0.09867081684951637,0.0033456346224649824,0.040143016145585825,0.0013905476397583713,0.0018026944032045477
10,10,pool,1c2ae6f,0.2,0.11962824295991535,0.0050921215176031615,0.04857183392388417,0.0014948546288967189,0.0025832552758062537
10,10,pool,1c2ae6f,0.5,0.13449416949021997,0.006929720737522247,0.05446796527908819,0.00126751282476049,0.0017614046662775067
10,10,pool,1c2ae6f,1,0.1927950194539459,0.00913647399654465,0.07817615640729825,0.003077836728737282,0.004382791360858084
10,10,sim,1c2ae6f,0.01,0.07699333220550422,0.011676036966614982,0.02918331192260563,0.011404800947057156,0.019056437767644378
10,10,sim,1c2ae6f,0.02,0.05808195037880804,0.002287178517174138,0.023601291795117847,0.02522573791140714,0.03659179785399359
10,10,sim,1c2ae6f,0.05,0.11203526575629438,0.010219183491879016,0.04458196665626015,0.01520452611231679,0.02575625348423661
10,10,sim,1c2ae6f,0.1,0.09077070345002825,-0.003925867847650814,0.03684844179127447,0.015030710678519686,0.025222301753461303
10,10,sim,1c2ae6f,0.2,0.12093670074752251,0.00744823374366271,0.0488071519217802,0.02517910108864878,0.029571592617906838
10,10,sim,1c2ae6f,0.5,0.11595638890690323,0.0033724901823654527,0.047218714489328066,0.020787139589169622,0.03291889913971976
10,10,sim,1c2ae6f,1,0.18412286020979046,0.005738399526041396,0.07494848483804417,0.020538705791620798,0.029022622037794266
10,100,pool,0ffbda7,0.01,0.07682959601127544,0.003403730306295119,0.031180321099661134,0.001593167379867131,0.002573904785817423
10,100,pool,0ffbda7,0.02,0.06427882772768015,-0.007076152045143946,0.025269666029480265,0.0032394654519090744,0.005633229197713034
10,100,pool,0ffbda7,0.05,0.0819410494883268,0.00731680588372689,0.03264230818331627,7.209724461964384e-4,0.0011351596243852826
10,100,pool,0ffbda7,0.1,0.06757244568959905,7.395704412344928e-4,0.027576419969025854,9.206146624915102e-4,0.0015495354716367695
10,100,pool,0ffbda7,0.2,0.07148206060653772,-0.008200923375840538,0.028006410347330264,0.0019903179452347743,0.0026362344942053697
10,100,pool,0ffbda7,0.5,0.0783977958568653,0.005780862394916069,0.03147936936852716,0.002048312171943604,0.0028721816527886137
10,100,pool,0ffbda7,1,0.09211037169781515,0.005595962694299938,0.03718519370092906,0.0019685158185458298,0.0025920708677534842
10,100,sim,0ffbda7,0.01,0.0816508935064009,0.007343532887831366,0.03251487751462309,0.010161847753353864,0.018123662994781978
10,100,sim,0ffbda7,0.02,0.06424304185342919,-0.008878523385637924,0.024678598560714964,0.0025000081431940267,0.0037438601588923297
10,100,sim,0ffbda7,0.05,0.0861885974454006,0.008890354655056942,0.03404468606172667,0.014244994780400151,0.025542324925022383
10,100,sim,0ffbda7,0.1,0.07993825487221894,0.007144706930808326,0.03184295727800469,0.025802729592162902,0.04620886432251488
10,100,sim,0ffbda7,0.2,0.07345427835833852,-0.008783697303422341,0.028672318181001067,0.020100390077441254,0.03038169297695011
10,100,sim,0ffbda7,0.5,0.09203408083187786,0.01843128972056425,0.03274140444449597,0.01765347305771617,0.02401532035273197
10,100,sim,0ffbda7,1,0.0927715376537603,0.006643380063317026,0.03728661781088267,0.013031429351650473,0.022588652321323403
10,1000,pool,0ffbda7,0.01,0.07786536643302576,0.004075962652000674,0.03152600635588114,9.259594724239587e-4,0.001052126279205424
10,1000,pool,0ffbda7,0.02,0.07316155975090195,0.009891371788341825,0.028182673193688734,0.0010390852414516938,0.0011792824486824619
10,1000,pool,0ffbda7,0.05,0.07111807073537199,-0.005199761470374577,0.028564415126250534,7.876419562994359e-4,0.0013736190707242576
10,1000,pool,0ffbda7,0.1,0.08595315027252447,-0.005552674060340911,0.03464811420180728,0.001404132741853196,0.0020850004877299593
10,1000,pool,0ffbda7,0.2,0.07381873253335164,-0.003785572355531534,0.029897664135281873,9.679751706871818e-4,0.001409206380336223
10,1000,pool,0ffbda7,0.5,0.06529145567115917,-0.0011776197041401646,0.026629098916578293,0.0013009018556348168,0.0019333553349785474
10,1000,pool,0ffbda7,1,0.0920966316331643,-0.009848310908912947,0.03628556690022237,8.03427130065196e-4,0.0013272507428811308
