interval,mean,q025,q16,q5,q84,q975,nch,z
0.5,0.1093192489471747,0.08422464918148302,0.09515821471328167,0.1086971931605639,0.1229934241463183,0.1474521887387206,50,0.5
0.2,0.2374022411910175,0.2080797092557952,0.2218557779462094,0.2380383862931115,0.2540614663872188,0.2644780300170727,50,0.5
0.1,0.2468617932562248,0.2161790960594385,0.2352630439057214,0.2462729317626292,0.2603614485425566,0.2726171647785566,50,0.5
0.05,0.2578371908009483,0.2289882543866771,0.2434352316583525,0.2586501247682458,0.2704260217212373,0.2857508764357001,50,0.5
0.02,0.2483384152633636,0.2203572792249339,0.2334113041562639,0.2480058009601988,0.2614994603982637,0.2822869390744782,50,0.5
0.01,0.2920829682542664,0.2630295156416225,0.2766488732469502,0.2926050833284149,0.3071149598531658,0.3165739567821187,50,0.5
1,0.1727012050581961,0.127576140347834,0.156517562587029,0.1722482964126944,0.1898518252297685,0.2055284845801259,50,1
0.5,0.1151245912887822,0.08784705695153376,0.1013282452521353,0.1146990168357639,0.1297706198936467,0.1479212316748801,50,1
0.2,0.1578118823232065,0.1348375287671375,0.1464344545355997,0.1568625481630727,0.1706747274268934,0.1857757915270092,50,1
0.1,0.1863590040520768,0.1567478082882823,0.1700000242466692,0.1856310805065329,0.2016191164484699,0.2171774164114183,50,1
0.05,0.2030346618093825,0.1765572777633131,0.191507951185644,0.2009087384817074,0.2168865099806285,0.2343952992731601,50,1
0.02,0.210943185640962,0.1726737366340736,0.1962767796975469,0.2094461617509319,0.2252722923621969,0.2464361148933239,50,1
0.01,0.2192941588481905,0.1851428632662833,0.2033923627911249,0.2189980877967541,0.233143917516427,0.2508317910881786,50,1
1,0.1446854176363252,0.09778104080263308,0.1247246419780255,0.1448538462703508,0.1637035790215568,0.188659092593126,50,10
0.5,0.1063560965780234,0.07878443361504642,0.09469175747241952,0.1075599178763278,0.1190750041689135,0.1370187107686088,50,10
0.2,0.1111610439684581,0.08290022769881539,0.09478144041870114,0.1082881298253657,0.1273852317534158,0.1478957674924928,50,10
0.1,0.1118095283354316,0.08651412139425427,0.09695939557145912,0.1123475082330177,0.1257621714923904,0.1349779482601385,50,10
0.05,0.0985677128546986,0.07323858952227283,0.08615481698712536,0.0977716774248111,0.1120733239863725,0.1304547330163817,50,10
0.02,0.1032333196740976,0.07510979023433806,0.08942887851163092,0.1039499809863053,0.1160488888568589,0.1259405070865893,50,10
0.01,0.126562990655542,0.09935273882011636,0.1137940463560733,0.1267350271079692,0.1397753137634321,0.1491239365328349,50,10
1,0.1484519153895781,0.104282951398037,0.1325777131616786,0.1465016478896675,0.165399197125021,0.1936765886737128,100,0.05
0.5,0.1341960888993687,0.1110057752950441,0.1172305668329322,0.1343356438052079,0.1479254788968705,0.1668614028217775,100,0.05
0.2,0.2436302116384313,0.2198958803388231,0.2265177176412752,0.243011688510844,0.2598001707646019,0.2736488653114849,100,0.05
0.1,0.3708065414369655,0.3424736715527743,0.3574662610723491,0.3703536085370168,0.3852925807320374,0.3993925050993894,100,0.05
0.05,0.4451222162946133,0.4203424347394472,0.4337415799629832,0.4442844673113728,0.4576341528987233,0.4809889396931319,100,0.05
0.02,0.4941594039889546,0.4703013578621769,0.4818960366733557,0.4942474721390435,0.5060167941031471,0.5219194880471119,100,0.05
0.01,0.5105430019522287,0.48384688452972,0.4972257008024212,0.5115356022279123,0.5252460882786509,0.5332930310279579,100,0.05
1,0.1590733512584769,0.1208680323468692,0.1398445509166695,0.1600153694941413,0.1766617816918578,0.1958812109901392,100,0.1
0.5,0.1455874284740923,0.1148729784554708,0.1304622046865336,0.1440198557204624,0.16331862890472,0.1842109371576481,100,0.1
0.2,0.2490530591810301,0.2202023985482251,0.2374296654094278,0.2479086269797417,0.2631343943917417,0.2783166030063365,100,0.1
0.1,0.3336085202479387,0.3178803819868829,0.3216877553822506,0.3327016094390783,0.3440785036418635,0.3607324133656663,100,0.1
0.05,0.3830592633378307,0.3584737017906569,0.3690131281146584,0.380568792380662,0.4003885479394795,0.4159005596674255,100,0.1
0.02,0.4142632948147235,0.3810136555020106,0.3975081959392043,0.4157669742446128,0.4288937897051269,0.4447203202831966,100,0.1
0.01,0.4146295098964584,0.3880027141987534,0.3994928830360905,0.4153895248183233,0.4306704181189334,0.4395617624518126,100,0.1
1,0.1650088020780851,0.12960467737718331,0.1458317732416274,0.1662657371843676,0.1814438541652678,0.1969692310518211,100,0.2
0.5,0.1428599770860687,0.11052752660997581,0.1273298295544829,0.1405892426609856,0.1605467937637628,0.1754546429085009,100,0.2
0.2,0.2404472968683394,0.202364421987933,0.2265717998723296,0.240676343865407,0.2554069994251368,0.2660926546584025,100,0.2
0.1,0.2878684660127131,0.2632486822968397,0.2750182119522581,0.287446964842213,0.3012371516927576,0.3151620650086238,100,0.2
0.05,0.2994883990383899,0.2654871807151837,0.2818833918980045,0.2983941018454779,0.3169956535734028,0.3344326691942119,100,0.2
0.02,0.3399667735180239,0.3143585760057137,0.3268260629134558,0.3389671266720921,0.3545536703024898,0.3727643743845268,100,0.2
0.01,0.3288657816755494,0.3059752888247649,0.3165384347600457,0.3299860104709044,0.3399863102964465,0.3587374449737303,100,0.2
1,0.1558607584319908,0.1245829373667093,0.1372196870828638,0.1548074725243043,0.1744171821390888,0.1970329661410988,100,0.5
0.5,0.1227937753417001,0.09682340899380606,0.1082698167078423,0.1210756555854111,0.1405165905681585,0.1539714038361698,100,0.5
0.2,0.1790998400767937,0.146286393650267,0.1670635037433431,0.1787701578962207,0.1929758423006253,0.208280310669624,100,0.5
