interval,tau_int,r2m,r2v,r1m,r1v,r1v_step,nch,z,n,kurt,acf1,r2bar
0.2,0.9996919646658003,49.84331350917878,98.76342757799944,-0.00823574099558838,50.15579052452254,49.83815853618279,2000,0.5,50,-0.024731448440011183,0.006373268950319311,-0.0031337298164244576
0.1,1.006865897107522,100.3571596845446,206.8076654831162,-0.04076874745752688,100.8888473573637,100.3493240749135,2000,0.5,100,0.06807665483116221,0.005376451584740538,0.0035715968454459457
0.05,1.005499181316706,200.2392742398526,406.6490926177725,0.2335054195288041,204.4349853568985,200.2196305731351,2000,0.5,200,0.03324546308886234,0.021053653788576154,0.0011963711992628578
0.02,1.003191858208524,499.5504141631477,1021.236264858058,-0.361554828213234,512.9999668490441,499.505694268277,2000,0.5,500,0.042472529716115925,0.027015252750090868,-8.991716737045685e-4
0.01,1.002633282163476,999.727389857476,2017.439758433333,-0.2869615371170239,1003.343998504871,999.6277667061084,2000,0.5,1000,0.017439758433333008,0.003717615619069914,-2.7261014252399907e-4
1,0.994688778083169,9.950262263798356,19.82030916648363,-0.00736686791150844,9.896654923597437,9.94953910797399,2000,1,10,-0.01796908335163705,-0.005315239610864997,-0.004973773620164379
0.5,0.9904031602493288,19.98514543736837,38.9831792508481,-0.02249950082383897,19.96265916099744,19.98309774122945,2000,1,20,-0.05084103745759494,-0.0010227933875257555,-7.427281315814938e-4
0.2,0.9977809962355404,50.02016334802399,100.3913660703261,-0.024431827934392,49.84558702081267,50.01577045998026,2000,1,50,0.007827321406522092,-0.003402595573405387,4.0326696047987554e-4
0.1,1.002891968000277,99.82546498682028,204.3071779658418,0.00892072908704201,98.70659760689368,99.81539611503116,2000,1,100,0.043071779658417686,-0.011108491788778374,-0.0017453501317972187
0.05,0.9979644909304732,199.7715646167992,396.2153915679326,0.1011781362324485,194.5889562547937,199.7519955745398,2000,1,200,-0.018923042160337022,-0.025847247757880165,-0.0011421769160040451
0.02,1.003214578777031,499.850206475317,1003.616613365775,0.3957708877201209,484.6879682119543,499.8025100083737,2000,1,500,0.007233226731550246,-0.030241028193648267,-2.995870493659458e-4
0.01,1.001337595028222,1000.151649064833,1998.261361647636,0.1955049517472179,1004.08498047746,1000.049469508132,2000,1,1000,-0.0017386383523638749,0.004035311344460668,1.5164906483300378e-4
