interval,p,J,smean,Jstep,G,param,nch,z
0.1,1,36.84111699190517,0.02959150224330918,34.25202592826215,34.08018653208622,k_off,5,1
0.1,2,178.8483674571478,0.3044308908183779,169.3627315337991,169.1306884082771,i,5,1
0.1,3,210.1591504661674,-0.4896121788438921,209.445200825739,209.640529528311,S,5,1
0.1,4,198.5645894451991,0.8849339649873484,204.1557431175146,205.4205137879578,baseline,5,1
0.1,5,122.5722377919103,0.1337267385207142,116.0681891767957,115.691045106717,N_ch,5,1
0.05,0,35.90683787322702,-0.07794327946565248,34.21112554272268,33.88676413438694,k_on,5,1
0.05,1,35.644968939243,0.18489999961457881,34.35503537860171,34.09867619678048,k_off,5,1
0.05,2,170.1526109100066,0.1366306395248842,171.5087587136104,171.2694931748982,i,5,1
0.05,3,475.5483958953076,-0.393757990445922,467.3101281272449,467.9165068745809,S,5,1
0.05,4,202.9054180331528,1.285289926873895,206.1740856060965,207.0526939346449,baseline,5,1
0.05,5,116.2192021110737,-0.07965434981760976,117.1143017842881,116.9148532284148,N_ch,5,1
0.02,0,36.13496304935359,-0.0971680376335266,33.91864340943822,33.89209021296642,k_on,5,1
0.02,1,37.16884082174606,0.1340234046408514,34.2418609778202,34.15406683337303,k_off,5,1
0.02,2,171.9566543283026,0.07095466117588636,172.8017217014492,173.1852761657754,i,5,1
0.02,3,1259.710128816643,-0.3707110770115641,1257.982816832812,1258.027484397903,S,5,1
0.02,4,209.6544216995136,1.297437905802574,208.339065347548,208.5647269678401,baseline,5,1
0.02,5,118.1670503888364,-0.1051471493666555,118.3194840714909,118.5711484695055,N_ch,5,1
0.01,0,37.60180501279031,-0.2201971892078639,33.9013442691164,33.88827312414894,k_on,5,1
0.01,1,37.32820634002707,0.1729932064122269,34.06944817921533,34.05838594177076,k_off,5,1
0.01,2,173.380211615551,-0.1126561574220541,173.2590445579661,173.4534484687328,i,5,1
0.01,3,2539.478696900794,-1.037469340993841,2577.187636151305,2581.552047684474,S,5,1
0.01,4,208.4575827101679,1.621155590706651,208.82845744592981,209.0437059605615,baseline,5,1
0.01,5,120.5781588408142,-0.2714797722029391,118.929054328763,119.1098428604401,N_ch,5,1
1,0,69.9180961453399,-0.0715904371592741,70.61309781946603,69.32967569948516,k_on,10,0.05
1,1,82.81792799685073,1.013558923261713,76.1387151100386,75.02437043041407,k_off,10,0.05
1,2,265.9547542509533,-0.6922830661592861,266.6408849835134,264.2271015773611,i,10,0.05
1,3,5.383323384058055,-0.1796642757670921,5.394003205765323,5.64486232058597,S,10,0.05
1,4,2246.447909201429,0.2537925175741808,2244.219078222103,2367.368110307907,baseline,10,0.05
1,5,221.3577199747523,-0.1396475838514447,223.5140163726372,219.4081763705496,N_ch,10,0.05
0.5,0,74.5536394655453,-0.05511549120712068,74.5505901174858,72.16034211182779,k_on,10,0.05
0.5,1,76.229332802307,0.4754939698430467,72.98118472917488,71.90245967818052,k_off,10,0.05
0.5,2,309.6114055127619,-0.745789727541858,316.1611448690115,311.7605083916489,i,10,0.05
0.5,3,12.62540617102473,-0.6495016754471059,12.52439195203367,13.66916403479437,S,10,0.05
0.5,4,2573.129351609804,0.5012274494461392,2544.199541999233,2734.414891415666,baseline,10,0.05
0.5,5,233.7875293680934,-0.06748745878163129,236.5736682835775,231.2719307038724,N_ch,10,0.05
0.2,0,91.82784448410366,0.03172343119880729,90.31381502580945,80.48744722011749,k_on,10,0.05
0.2,1,99.54739366859069,0.4584215853338865,95.50840399402844,81.86247293627609,k_off,10,0.05
0.2,2,472.5888271053857,-0.2098299866372903,475.0979167468063,428.0494028572677,i,10,0.05
0.2,3,39.74197452323804,-1.350951966250814,40.62943412628064,44.46933795669485,S,10,0.05
0.2,4,2907.04389594517,2.66969084828929,2891.122980665875,3022.426719837329,baseline,10,0.05
0.2,5,280.5001204603288,0.04365781767453483,278.2111913540288,259.7320260759174,N_ch,10,0.05
0.1,0,109.5469635347578,-0.1245256212900106,106.4959088395694,90.136155462807,k_on,10,0.05
0.1,1,130.8278144101383,0.4914182080967252,117.5018401870378,94.011940380216,k_off,10,0.05
0.1,2,663.5206267511799,-0.179118889809431,650.8485791616681,549.9296519928088,i,10,0.05
0.1,3,101.1617360539507,-1.798297235824609,108.7173570534142,111.085933823308,S,10,0.05
0.1,4,3014.5823315739,3.941078494858198,3002.776633876634,3081.230865342224,baseline,10,0.05
0.1,5,330.6697716037389,-0.1079200316758066,322.8148790802496,291.1148714772152,N_ch,10,0.05
0.05,0,124.7295786904048,-0.2973602588988327,116.9820855633523,97.74710471841396,k_on,10,0.05
0.05,1,152.3276465109462,0.6761637662062205,125.6150725340403,102.7677011598344,k_off,10,0.05
0.05,2,794.3982679566637,-0.2665893863958829,773.1635342878502,645.1456343354429,i,10,0.05
0.05,3,291.7877710447315,-1.638671595462377,303.6236985493349,290.9323581645663,S,10,0.05
0.05,4,3025.716422008764,6.698850073313803,3087.341693937669,3112.802103387013,baseline,10,0.05
0.05,5,362.8889572504888,-0.3460797801020818,356.0701800847451,318.5170588584596,N_ch,10,0.05
0.02,0,140.327081925669,-0.4988725359367626,114.2834858428117,102.2856154979357,k_on,10,0.05
0.02,1,170.5219550536706,0.7143250302041654,121.4434996849479,108.3839944828191,k_off,10,0.05
0.02,2,949.8744698740334,-0.221129769505073,789.9292428323392,717.1316574182955,i,10,0.05
0.02,3,987.9112183187182,-1.969546191005499,1018.721400847498,986.773387796482,S,10,0.05
0.02,4,3184.392241361038,10.57385778585065,3117.870544684446,3136.489434424002,baseline,10,0.05
0.02,5,414.4685487186801,-0.4842242429872594,364.6871750382298,349.4340600727594,N_ch,10,0.05
0.01,0,138.6249079815358,-0.1942561405202378,110.2889344864035,103.3340809973906,k_on,10,0.05
0.01,1,175.9977806219045,0.7106213255415564,117.4206673274768,110.2614551076339,k_off,10,0.05
0.01,2,974.8619555417032,0.544366304826812,785.0017198810293,741.37337251179,i,10,0.05
0.01,3,2353.678412067695,-1.901672775914438,2292.091568344415,2261.62809918649,S,10,0.05
0.01,4,3120.647871174594,11.37899585971041,3115.781490735855,3127.817142130994,baseline,10,0.05
0.01,5,424.8868829957984,0.05158620808597246,369.7970469929035,360.8820368293771,N_ch,10,0.05
1,0,68.32341748553226,-0.08597873296522573,69.22843666127183,69.15059829882404,k_on,10,0.1
1,1,84.16552765556247,0.7596104114066388,76.21680315103066,74.44822663542053,k_off,10,0.1
1,2,259.6884721763483,-0.6386032727184199,262.9379851830723,262.6299520881772,i,10,0.1
1,3,5.617329195891539,-0.2146304337060621,5.62805455267593,5.854761066916027,S,10,0.1
1,4,1159.647689224212,0.7582210084196908,1161.637555709658,1230.910879714891,baseline,10,0.1
1,5,215.4211518815931,-0.206890104215634,219.7968240845541,218.7972055153996,N_ch,10,0.1
0.5,0,73.58955345322757,0.03298134739916374,74.51635683699755,71.74429214202452,k_on,10,0.1
0.5,1,75.07649885356588,0.5311971414374164,72.97613857795962,71.312297006677,k_off,10,0.1
0.5,2,308.7698811702707,-0.2406089700938356,317.2711504207294,307.6340496375403,i,10,0.1
0.5,3,12.70133545206833,-0.6696592022725716,12.73320177361662,14.51418844770568,S,10,0.1
0.5,4,1319.937866543742,1.225910693601961,1311.762524378325,1401.930113154626,baseline,10,0.1
0.5,5,233.2321660792013,0.08393573721893496,237.7561490122885,230.2804330267078,N_ch,10,0.1
0.2,0,85.79284611644516,-0.03515996769328726,86.15980743473813,78.9647496570819,k_on,10,0.1
0.2,1,89.83878485875171,0.5053253734881658,87.42746225669549,78.63737236537985,k_off,10,0.1
0.2,2,436.6625990073663,0.05238812218913269,440.7520632023254,406.3532067435928,i,10,0.1
0.2,3,44.89794242531048,-1.283445387005153,44.73971731701012,48.89089442535264,S,10,0.1
0.2,4,1448.9066938185,2.334291681305244,1462.266587312661,1525.225976918642,baseline,10,0.1
0.2,5,267.1858341508701,0.04453976990600119,269.547932838635,254.9744411394106,N_ch,10,0.1
0.1,0,101.0089118004594,-0.1593287259800569,97.02315528474873,85.43506668176528,k_on,10,0.1
0.1,1,108.8832013482201,0.5656637947986384,98.51094347678364,86.131161705598,k_off,10,0.1
0.1,2,562.5768440619356,-0.1347534873534555,546.9950418647262,486.9675639170702,i,10,0.1
0.1,3,120.5369245965242,-1.296810262141842,125.4462749974121,126.3705178598164,S,10,0.1
0.1,4,1480.478724485522,3.381802450784432,1529.402797659506,1557.244645226139,baseline,10,0.1
0.1,5,306.2224544643602,-0.2574107355798186,297.6459413171193,276.6933127163387,N_ch,10,0.1
0.05,0,110.2189448732375,-0.1528907400551719,99.01839141868626,89.21192121380273,k_on,10,0.1
0.05,1,120.9799929955327,0.5650478324691761,100.8895495844844,91.21340157629724,k_off,10,0.1
0.05,2,626.7051925572005,0.01873586583073483,588.2133340693339,535.2260562156603,i,10,0.1
0.05,3,332.8440247583942,-1.635658766667124,337.8677798580357,331.4575286211054,S,10,0.1
0.05,4,1546.600961066053,4.769386746673893,1557.177526244496,1571.836784422883,baseline,10,0.1
