nch,z,interval,rank,share,c,mag,sigma,dompar
10,0.5,0.5,4,0.09974411747382436,0.04181737719133202,0.13240767025243863,0.17024735814784409,2
10,0.5,0.5,5,0.15522816854306395,-0.052167306142854156,0.13240767025243863,0.058719628252772375,5
10,0.5,0.5,6,0.0010369661995555592,-0.0042637864430091,0.13240767025243863,0.04037583977853493,3
10,0.5,1,1,0.009311116902677479,-0.010901466168186335,0.1129754348582254,0.7734450859319434,6
10,0.5,1,2,0.6705819056138314,0.09251452790290493,0.1129754348582254,0.38870327947572114,4
10,0.5,1,3,0.025452945575762314,0.018024077500316878,0.1129754348582254,0.26167575560970285,1
10,0.5,1,4,0.25797315391928444,-0.0573814182712805,0.1129754348582254,0.1936549429848096,2
10,0.5,1,5,0.03322563007791229,0.020593048124352795,0.1129754348582254,0.0615814936350446,5
10,0.5,1,6,0.003455247910532096,0.006640849349191584,0.1129754348582254,0.04142392085557612,3
10,1,0.01,1,0.07352922386550761,0.02106485051581459,0.07768342958402419,0.6567390154041731,6
10,1,0.01,2,1.2481027381209245e-6,8.678677666994798e-5,0.07768342958402419,0.2626357689969278,1
10,1,0.01,3,0.08842713244831404,-0.023100488373674413,0.07768342958402419,0.15187094280678148,2
10,1,0.01,4,0.8307553775422014,-0.07080517022694531,0.07768342958402419,0.07759581248596599,5
10,1,0.01,5,0.005608710906960611,-0.005817815151907203,0.07768342958402419,0.04003302355119096,3
10,1,0.01,6,0.0016783071342781188,0.0031824684801416486,0.07768342958402419,0.019781457599800826,4
10,1,0.02,1,0.01093044487746983,-0.008693432204953437,0.08315193355566568,0.6565095947511765,6
10,1,0.02,2,2.1926967689908953e-4,-0.0012312936529244687,0.08315193355566568,0.2623971618687361,1
10,1,0.02,3,0.009508642334350705,0.008108333597129123,0.08315193355566568,0.15260112403772857,2
10,1,0.02,4,0.9657226319879578,-0.08171439264952188,0.08315193355566568,0.07755168398943012,5
10,1,0.02,5,0.006889391916732148,0.006901806799400916,0.08315193355566568,0.04014057098073231,3
10,1,0.02,6,0.00672961920659034,0.006821307029093467,0.08315193355566568,0.028429302056149606,4
10,1,0.05,1,0.10185476720783526,0.018641636995843737,0.05841082853039245,0.6717025114165117,6
10,1,0.05,2,0.007002062489137455,-0.004887720437895571,0.05841082853039245,0.2618055161379858,1
10,1,0.05,3,0.09478375336745325,0.017982924369229818,0.05841082853039245,0.15516642859167917,2
10,1,0.05,4,0.7944285721985258,-0.05206199358113181,0.05841082853039245,0.07793439024036306,5
10,1,0.05,5,9.441531613723952e-5,-5.67563675332679e-4,0.05841082853039245,0.047802643713810586,4
10,1,0.05,6,0.0018364294209109752,-0.002503113182872574,0.05841082853039245,0.039734148376176066,3
10,1,0.1,1,0.0022000100598510678,0.003501188570152744,0.07464542046141079,0.6797914457908494,6
10,1,0.1,2,9.189824766645039e-4,-0.002262855301260599,0.07464542046141079,0.26125923988636185,1
10,1,0.1,3,0.0034215567955174745,0.004366314813568187,0.07464542046141079,0.1595987545151217,2
10,1,0.1,4,0.9908335143625986,-0.07430251475499378,0.07464542046141079,0.07945669826914693,5
10,1,0.1,5,3.6671372468112566e-6,-1.4294426989303847e-4,0.07464542046141079,0.07113848419191576,4
