nch,z,interval,k,loglam,beta,share,mag
10,0.05,0.1,1,0.43277043203305227,-0.04724101395236152,0.05048766336460142,0.21024543494907988
10,0.05,0.1,2,0.24112740081386153,-0.044620473777513076,0.04504174474361359,0.21024543494907988
10,0.05,0.1,3,-0.02018614710068003,-0.01632173453747368,0.006026698572371028,0.21024543494907988
10,0.05,0.1,4,-0.035054913775582335,-0.05086003388239954,0.05851943721242104,0.21024543494907988
10,0.05,0.1,5,-0.10866721571546431,0.18073701054317123,0.7389942168020106,0.21024543494907988
10,0.05,0.1,6,-0.4742812888024932,-0.06679396524116421,0.10093023930498225,0.21024543494907988
10,0.05,0.2,1,0.3164023926990669,0.06125305614701471,0.06667906355307701,0.23721001239505718
10,0.05,0.2,2,0.16758733319224278,-0.054265422417632984,0.05233356782507925,0.23721001239505718
10,0.05,0.2,3,-0.011310691181083646,0.035891543643897884,0.02289381883550128,0.23721001239505718
10,0.05,0.2,4,-0.04061157382049561,0.07273805616038138,0.09402803261691478,0.23721001239505718
10,0.05,0.2,5,-0.1185693279466251,0.17968475616762417,0.5737945736729616,0.23721001239505718
10,0.05,0.2,6,-0.4436141859637126,0.10347114430989213,0.190270943496466,0.23721001239505718
10,0.05,0.5,1,0.1176730407552171,-0.10700347094827879,0.18931664824675204,0.24592544277379086
10,0.05,0.5,2,0.05686811076817552,-0.05561216659426671,0.051136700929598336,0.24592544277379086
10,0.05,0.5,3,-0.04524192917231936,0.09279759495928558,0.14238574682420135,0.24592544277379086
10,0.05,0.5,4,-0.0658265900730003,0.033430743310619446,0.01847928408266758,0.24592544277379086
10,0.05,0.5,5,-0.11795947712708242,0.09498353810357173,0.14917284127806202,0.24592544277379086
10,0.05,0.5,6,-0.335841324910081,0.16488173578658327,0.4495087786387187,0.24592544277379086
10,0.05,1,1,0.23488723240260972,-0.19313474356465288,0.7191062064011293,0.2277528859329193
10,0.05,1,2,0.026467994371663237,0.020349993828766816,0.007983637072628542,0.2277528859329193
10,0.05,1,3,-0.006036322238625898,-0.01751633002407041,0.005915050553059802,0.2277528859329193
10,0.05,1,4,-0.05942373571907849,0.04845650435821508,0.0452664445811683,0.2277528859329193
10,0.05,1,5,-0.11630148371764623,-0.04287455579165745,0.03543818650761155,0.2277528859329193
10,0.05,1,6,-0.29397621298780147,0.09830128922703132,0.18629047488440248,0.2277528859329193
10,0.1,0.01,1,0.4296286863860671,0.039645766437185995,0.03687795790770225,0.2064492863567502
10,0.1,0.01,2,0.20298065774569946,-0.07201761261620532,0.12168881693511993,0.2064492863567502
10,0.1,0.01,3,-0.01329432404719989,-0.13719552141654903,0.4416244374445329,0.2064492863567502
10,0.1,0.01,4,-0.01821605910287978,0.12230885295102432,0.35098537021275117,0.2064492863567502
10,0.1,0.01,5,-0.07428617552897682,-0.0425568984554512,0.0424925864092414,0.2064492863567502
10,0.1,0.01,6,-0.35891975345745075,0.01642645125339259,0.006330831090652352,0.2064492863567502
10,0.1,0.02,1,0.42279414840230356,0.056597336654175844,0.0963879423070728,0.18229914853937573
10,0.1,0.02,2,0.23039432581099606,0.04702259812920542,0.06653405033845101,0.18229914853937573
10,0.1,0.02,3,0.008883964050270426,0.02614302613720845,0.02056564968585577,0.18229914853937573
10,0.1,0.02,4,-0.018819125612202097,-0.16463900770174922,0.815635649206892,0.18229914853937573
10,0.1,0.02,5,-0.04324360287089856,0.005177447099600567,8.066071362103663e-4,0.18229914853937573
10,0.1,0.02,6,-0.38320877638303297,-0.0015263275919493967,7.010132551814839e-5,0.18229914853937573
10,0.1,0.05,1,0.3823364161933774,0.056018893397134964,0.10871667264665814,0.16989728917365537
10,0.1,0.05,2,0.252273347866305,0.057818453098775764,0.11581372688503662,0.16989728917365537
10,0.1,0.05,3,-0.013183565357203919,0.0834910040350861,0.24149406871842824,0.16989728917365537
10,0.1,0.05,4,-0.03306805257425186,0.12299529512514974,0.5240878589291909,0.16989728917365537
10,0.1,0.05,5,-0.08558887557262286,-0.00864591441117361,0.0025896970678225837,0.16989728917365537
10,0.1,0.05,6,-0.39498465423416385,-0.014514018005603443,0.007297975752863646,0.16989728917365537
10,0.1,0.1,1,0.3563418373730238,-0.04536440778170838,0.07365947596066036,0.16714790333298085
10,0.1,0.1,2,0.23191391335781564,-0.04484021924666251,0.07196703134111052,0.16714790333298085
10,0.1,0.1,3,0.013063611975993825,-0.0309541359752203,0.03429537101562674,0.16714790333298085
10,0.1,0.1,4,-0.0528623149059141,-0.026265038937604623,0.02469188419273801,0.16714790333298085
10,0.1,0.1,5,-0.07936039612753022,-0.14719511611633895,0.775505593248487,0.16714790333298085
10,0.1,0.1,6,-0.3574222606148984,-0.023567643502667015,0.019880644241377376,0.16714790333298085
10,0.1,0.2,1,0.2666567838054628,0.06018592553780368,0.07494019098738565,0.21985560687126637
10,0.1,0.2,2,0.10267050754303376,-0.05358561871648979,0.05940478217592679,0.21985560687126637
10,0.1,0.2,3,-0.024089622061721605,-0.010965526897042818,0.0024876193000691682,0.21985560687126637
10,0.1,0.2,4,-0.05260174225667535,0.029516665301425,0.018024344938139772,0.21985560687126637
10,0.1,0.2,5,-0.09213390723504318,0.190311160575146,0.7492960170134783,0.21985560687126637
10,0.1,0.2,6,-0.3773998899422799,0.06806547991865364,0.09584704558500036,0.21985560687126637
10,0.1,0.5,1,0.11206794905907076,-0.1172053083685998,0.280473922089504,0.22130999992473613
10,0.1,0.5,2,0.04334360076939669,-0.041665341995774374,0.03544441605841206,0.22130999992473613
10,0.1,0.5,3,-0.04915978391140466,-0.06636241897770617,0.0899171100533214,0.22130999992473613
10,0.1,0.5,4,-0.07784801028367477,-0.004660769474083878,4.4351996024051294e-4,0.22130999992473613
10,0.1,0.5,5,-0.14014733751393088,0.12265397534652757,0.3071575404783489,0.22130999992473613
10,0.1,0.5,6,-0.278793378287165,0.11847084004223796,0.2865634913601732,0.22130999992473613
10,0.1,1,1,0.2887754797207064,0.1421560128461771,0.6377998415138173,0.17800124113828006
10,0.1,1,2,0.008969828902764557,0.005918552242810668,0.0011055666001720098,0.17800124113828006
10,0.1,1,3,-0.022560816478912223,-0.06344651772667151,0.12704849374051533,0.17800124113828006
10,0.1,1,4,-0.0520758804171938,-0.028297375889035713,0.02527238718857397,0.17800124113828006
10,0.1,1,5,-0.08790644830611963,0.003304741586124642,3.4469021117301493e-4,0.17800124113828006
10,0.1,1,6,-0.2569642951909049,-0.0812647351992086,0.20842902074574843,0.17800124113828006
10,0.2,0.01,1,0.3138040964635561,0.042633852506662545,0.07553392735301245,0.15512562536147917
10,0.2,0.01,2,0.1544340046586501,-0.06760686172794493,0.18993913804542925,0.15512562536147917
10,0.2,0.01,3,0.020426794118375398,0.0221919507326458,0.020465571111746357,0.15512562536147917
10,0.2,0.01,4,-0.04737813472900559,-0.12942490235993315,0.696095139737362,0.15512562536147917
10,0.2,0.01,5,-0.0774469063172686,-0.019562542298545444,0.01590316252384252,0.15512562536147917
10,0.2,0.01,6,-0.33224445306879363,-0.007045950762521499,0.0020630612286074426,0.15512562536147917
10,0.2,0.02,1,0.33038785535492377,0.06168545362028587,0.15255907944711464,0.1579296718701334
10,0.2,0.02,2,0.1905017735386717,-0.04383933076481294,0.07705491849611475,0.1579296718701334
10,0.2,0.02,3,0.015907449112587277,-0.06469572412510294,0.16781226155992354,0.1579296718701334
10,0.2,0.02,4,-0.014787731574356092,-0.11108249228281222,0.4947248941289629,0.1579296718701334
10,0.2,0.02,5,-0.06073275932052357,-0.0514066405465628,0.10595244441657507,0.1579296718701334
10,0.2,0.02,6,-0.2925406633308562,-0.006877473565555415,0.001896401951309052,0.1579296718701334
10,0.2,0.05,1,0.28182567139727654,0.021707428661459516,0.027386871532635755,0.13117080086671642
10,0.2,0.05,2,0.12573781024647446,-0.0390998546810926,0.08885378779311054,0.13117080086671642
10,0.2,0.05,3,-0.005818700828626024,-0.037134470231960495,0.08014568125088065,0.13117080086671642
10,0.2,0.05,4,-0.042410815577800076,-0.11675331413858217,0.7922533680300065,0.13117080086671642
