nch,z,interval,q,se_q
200,0.05,0.02,9.083445758056497e-4,0.0011648749368206538
200,0.05,0.05,6.607098124492161e-4,9.390833530659636e-4
200,0.05,0.1,8.645288564812076e-4,7.757527693884341e-4
200,0.05,0.2,4.698977575665963e-4,9.062754452431978e-4
200,0.05,0.5,5.730895250441255e-4,5.918579186659312e-4
200,0.05,1,0.0014436627190625242,0.0018654466798308689
200,0.1,0.01,8.771839603757759e-4,0.0013551569968966318
200,0.1,0.02,1.3359200887246088e-4,9.688005237762874e-4
200,0.1,0.05,3.1064443322998753e-4,0.0017779041962306004
200,0.1,0.1,2.9597819221802916e-4,0.001869864965519631
200,0.1,0.2,6.364308933462442e-4,0.0018755887571667068
200,0.1,0.5,5.707327554190223e-4,0.0019471905389867748
200,0.1,1,3.0265083188075017e-4,0.0036205459678530683
200,0.2,0.01,0.0011895167402140815,0.0016359942300639225
200,0.2,0.02,1.051900712889447e-4,7.971018271867042e-4
200,0.2,0.05,0.0012202535306416633,0.0052221661428943295
200,0.2,0.1,4.126336486772657e-4,0.0013064349440920823
200,0.2,0.2,0.001055637359461939,0.008216657729057117
200,0.2,0.5,6.473600016583976e-4,4.197959401613251e-4
200,0.2,1,6.757287305797427e-4,0.0031732008657130556
200,0.5,0.01,7.940735755482187e-4,7.63863564867943e-4
200,0.5,0.02,7.17795735265863e-4,7.993667557578124e-4
200,0.5,0.05,5.564847549153792e-4,0.001789086906579303
200,0.5,0.1,7.122266603494951e-4,0.0032329399121231784
200,0.5,0.2,0.0010977418792275384,7.271253887446221e-4
200,0.5,0.5,4.313142134120927e-4,0.0016554162011945866
200,0.5,1,3.3279018410695344e-4,7.685195496557823e-4
200,1,0.01,4.332997429319352e-4,4.8004537918763584e-4
200,1,0.02,0.0015022212422552623,6.557601211384516e-4
200,1,0.05,0.0010468893825963214,7.669348163859514e-4
200,1,0.1,3.98758910325377e-4,0.0014190026956844572
200,1,0.2,4.3930559979529776e-4,6.780154573291955e-4
