interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
0.01,0.02798217199920989,0.2435618788739749,0.4296286863860671,1.53668682486232,0.6984303957273282,1.538278209023022,1.500856482148775,1.574841093429742,0.6936142473405914,0.6372975812903319,0.7380953236169372,0.02713761194113234,-0.00157169246624565,0.0515837313996959,0.06104788627582557,0.05243557462308655,0.07567392608649297,10,0.1
0.02,0.036133488899572734,0.2493841491090572,0.42279414840230356,1.5262200887838284,0.6816705677132249,1.527800980418661,1.484138099056233,1.563926743212838,0.6794838551461164,0.6431993812123189,0.7148612460673274,0.03560438692792708,0.01737895687199956,0.054903660863938,0.06325143263734681,0.05156693332408575,0.0729151448387963,10,0.1
0.05,0.017964102720239985,0.24916271740600165,0.39498465423416385,1.4657050891277448,0.6736903774643221,1.467923968316398,1.429416787781958,1.519118702902301,0.6721419200318762,0.6480865224927801,0.7091126962888517,0.01751711908026748,0.00373252193124524,0.03293194438574949,0.0629603414398963,0.05675616192362949,0.07039906222317298,10,0.1
0.1,0.01861239850974842,0.22938281945009853,0.3574222606148984,1.4280956412973196,0.6994770737467756,1.431034854894879,1.381580079083104,1.464184036329827,0.6979334340746634,0.6765417813480648,0.7219650089326022,0.01810523864789727,-0.00277031968443886,0.03677211607659215,0.05354369929972755,0.04785385125116624,0.05904287193601242,10,0.1
0.2,-0.029482978357870577,0.1960859438961516,0.3773998899422799,1.3055922690140092,0.6856418377926052,1.307576252827276,1.269799982362981,1.350037852816715,0.6842344505847248,0.6649597150711843,0.7046834514892293,-0.02990902042524056,-0.0431130123296516,-0.01556509055022631,0.03927305352155737,0.03419254687408156,0.04348901498492341,10,0.1
0.5,-0.06508949336128464,0.12573918847237464,0.278793378287165,1.1185888651236717,0.7566962369360921,1.123412280959369,1.088491329036352,1.161413959229903,0.7545304724003291,0.7283872626068915,0.7829048676671854,-0.06552999172146834,-0.08117856922863265,-0.05017240929295318,0.01662743748421733,0.01359092930814487,0.02000600956861938,10,0.1
1,-0.0202936886282766,0.16226511904277538,0.2887754797207064,1.3347920070087753,0.7733958272228455,1.336585682425776,1.280516951168535,1.401095212828723,0.7711203921265637,0.736755264861119,0.8007823891674417,-0.02079509424977637,-0.0387390115886966,-0.00318069319692137,0.02724655127235785,0.02286701428656668,0.03335104616848828,10,0.1
0.01,0.0052659001875856315,0.20050055527144847,0.33224445306879363,1.368621592473028,0.7173119523123579,1.37081298666817,1.333576386637931,1.413797886259952,0.7148161990666826,0.6750190472705746,0.747346506714716,0.00473859171651062,-0.01557157146969409,0.02268210257679902,0.04122898022961467,0.0355679130275447,0.04871074666860985,10,0.2
0.02,0.028122653963407813,0.19597703538546665,0.33038785535492377,1.391507727537364,0.7463648947361596,1.393819699119813,1.351341451066103,1.435092987390282,0.7429541823721251,0.7096598681197145,0.7735999962867239,0.02749521073806105,0.0081501007210147,0.04857628558489396,0.03962216455068448,0.03428542353931988,0.04735260696096953,10,0.2
0.05,-0.007650233257199592,0.18358313289176564,0.31076495589185854,1.3255476189793594,0.7328861161900524,1.327619936025096,1.285627990612392,1.363000869534966,0.7310023644556836,0.7037437742634869,0.7579448169509513,-0.00807836286443409,-0.0224108532243696,0.00763044590992331,0.03452814254603032,0.02957250891568983,0.03981962858504563,10,0.2
0.1,-0.00409145623279637,0.18027170265740272,0.29859074295193094,1.3061624671330339,0.7418629599607429,1.308513518500789,1.271466290439448,1.357800988408019,0.7401315962944417,0.7216065871618884,0.7691916303586368,-0.00450056164136216,-0.01899976785460575,0.01217739992985224,0.03327008997277289,0.02783058047570378,0.03784280264115611,10,0.2
0.2,-0.021106982645944888,0.15272654913191155,0.2847897430551188,1.2294943215084722,0.7521723871626846,1.232751264273195,1.195662935498584,1.274232478631694,0.7504952193323864,0.7200390809451674,0.7777363226931252,-0.02151613182511374,-0.03383051118640211,-0.00819280222127602,0.02409304355749949,0.01973026334149165,0.02784898981008586,10,0.2
0.5,-0.03887630517033585,0.12037277214533125,0.24773663546733607,1.1384590971637871,0.7805654894754064,1.141978495375423,1.108279687996486,1.170199533721399,0.7783493407658101,0.7500244286091273,0.8036270988142323,-0.03927776599899521,-0.0593433009137808,-0.0232891701279818,0.01523252571430913,0.01210891721818851,0.01832529325320172,10,0.2
1,-0.016704192649169603,0.1444443830477374,0.25403280710287013,1.2892140989535834,0.7989214930409237,1.29115271120424,1.22975907624723,1.357440373821383,0.7957716260207894,0.7685534790311774,0.8334314569389273,-0.01721702248216699,-0.04050952906857429,0.00248866143002337,0.0217904986257636,0.0168459411771756,0.02767672925844212,10,0.2
