interval,r1_m,r1_lo,r1_hi,r2_m,r2_lo,r2_hi,nch,z,n,r2,r2lo,r2hi,r1
0.05,0.2200092971535693,-0.03867894835053391,0.5352024023623526,200.1851290539707,199.6831767798275,200.5664919197741,10,1000,200,9.256452698536144e-4,-0.0015841161008625093,0.0028324595988704626,0.0011000464857678464
0.02,-0.1606412280771164,-0.6751151454228137,0.3775943685441759,499.8842873435962,499.2592353683359,500.6256538053188,10,1000,500,-2.3142531280762046e-4,-0.0014815292633282295,0.0012513076106375198,-3.212824561542328e-4
0.01,-0.2668398131579561,-0.7456856477209366,0.289330409953871,1000.029714070752,999.036090327564,1001.056536453117,10,1000,1000,2.9714070751918342e-5,-9.639096724359808e-4,0.0010565364531169852,-2.6683981315795606e-4
1,0.01008225488587109,-0.05897255571661222,0.07033977763440087,10.096407721026191,10.00633325398084,10.20407204670729,10,10000,10,0.009640772102619044,6.333253980839171e-4,0.020407204670729095,0.001008225488587109
0.5,-0.04394977878290662,-0.1279754753346469,0.04845537136451165,20.02223078862572,19.88127222881196,20.15185783971051,10,10000,20,0.0011115394312859461,-0.005936388559402039,0.007592891985525485,-0.002197488939145331
0.2,0.152510379359219,0.03329313971015815,0.3005573765024674,50.11423828964166,49.87833021950614,50.36144983495157,10,10000,50,0.002284765792833321,-0.002433395609877209,0.00722899669903132,0.0030502075871843798
0.1,0.00579297206194787,-0.1765324690829082,0.1968201891877459,100.2480847735877,100.0103571026309,100.4971990809993,10,10000,100,0.0024808477358770897,1.0357102630909054e-4,0.004971990809992999,5.79297206194787e-5
0.05,0.00906107549859456,-0.3054479649195736,0.2812525172510777,200.1268007921609,199.780648291514,200.5745151639707,10,10000,200,6.340039608045966e-4,-0.0010967585424299653,0.00287257581985334,4.53053774929728e-5
0.02,-0.1528620278769122,-0.5969200115538682,0.239849235242712,500.0653684112834,499.4325462768302,500.6173350192994,10,10000,500,1.307368225667016e-4,-0.0011349074463395947,0.001234670038598784,-3.057240557538244e-4
0.01,-0.00652289506236918,-0.4919161709909441,0.5388827067328485,999.3407863209126,998.049989133184,1000.375103187762,10,10000,1000,-6.592136790873893e-4,-0.0019500108668160099,3.751031877619049e-4,-6.52289506236918e-6
1,0.1082792225466417,0.05537117193152606,0.156338459447368,9.598834501064774,9.50119791803148,9.707186873353942,20,0.05,10,-0.040116549893522646,-0.049880208196852016,-0.029281312664605763,0.01082792225466417
0.5,0.2810022128245451,0.187103390202747,0.383018619507258,19.203256145665492,19.04906554074464,19.33531696851256,20,0.05,20,-0.03983719271672537,-0.04754672296276807,-0.03323415157437193,0.014050110641227253
0.2,0.8714675199522877,0.6955087796328779,1.005427473294553,49.01889410053279,48.8300751624697,49.22235657338314,20,0.05,50,-0.019622117989344212,-0.023398496750606013,-0.015552868532337283,0.017429350399045754
0.1,1.332475114818834,1.133731632906853,1.586895321007681,99.17661190751409,98.87620285407355,99.53073200743248,20,0.05,100,-0.008233880924859105,-0.011237971459264418,-0.004692679925675236,0.013324751148188341
0.05,2.313909236668228,2.077847170243383,2.607154884462896,198.8608062510374,198.4265715169208,199.2954284267954,20,0.05,200,-0.00569596874481304,-0.007867142415395989,-0.0035228578660229104,0.01156954618334114
0.02,4.308702596322386,3.889996964280595,4.787200986028772,499.0045594162868,498.3228515606434,500.0689301646743,20,0.05,500,-0.001990881167426406,-0.0033542968787131366,1.3786032934870462e-4,0.008617405192644773
0.01,6.184602682715401,5.610880369732332,6.80523287895843,999.4222526221096,998.5813316684098,1000.266177144263,20,0.05,1000,-5.77747377890403e-4,-0.0014186683315902116,2.661771442629135e-4,0.006184602682715401
1,0.1101074136010562,0.04729276973697299,0.1752425734165759,9.64468388114533,9.560792706340454,9.747756546652164,20,0.1,10,-0.03553161188546705,-0.04392072936595459,-0.02522434533478357,0.01101074136010562
0.5,0.3395060829510615,0.2363965553769406,0.4099740138163608,19.35616607378138,19.21413392368702,19.47601732712896,20,0.1,20,-0.032191696310930995,-0.039293303815649105,-0.026199133643551975,0.016975304147553074
0.2,0.6062555263644653,0.451415263127627,0.7462285151955446,49.23133493136798,49.00822568912959,49.44501739871033,20,0.1,50,-0.015373301372640369,-0.01983548621740827,-0.011099652025793438,0.012125110527289307
