interval,ebar,s,dAI,comp,nch,z
1,-0.021963263974227393,0.1381656674993035,NA,total,20,0.05
0.01,0.03417490258545678,0.059871416291329964,NA,sample,20,0.05
0.02,0.04273988819588497,0.09847231641278867,NA,sample,20,0.05
0.05,0.04826991977048453,0.1641278096488714,NA,sample,20,0.05
0.1,0.020488120531637365,0.18649899058927455,NA,sample,20,0.05
0.2,-0.017852600750741753,0.1775179034167442,NA,sample,20,0.05
0.5,-0.05548947137717308,0.11697400303363922,NA,sample,20,0.05
1,-0.03347812219800343,0.07149735643606409,NA,sample,20,0.05
0.01,0.0496487441133095,0.2248104411478029,NA,corr,20,0.05
0.02,0.023790592286370663,0.18719336079707943,NA,corr,20,0.05
0.05,-0.0033399684401947544,0.1155341625719672,NA,corr,20,0.05
0.1,-0.017116331383051738,0.0786124656394701,NA,corr,20,0.05
0.2,0.00481508605159081,0.0726942726101246,NA,corr,20,0.05
0.5,0.0017864289059854061,0.08227241207999514,NA,corr,20,0.05
1,0.011505283335194247,0.0950102749099888,NA,corr,20,0.05
0.01,0.04748334063661255,0.2270782644742201,NA,total,20,0.1
0.02,0.04300654647491759,0.21789316714739154,NA,total,20,0.1
0.05,0.024859742714340338,0.21469173683242607,NA,total,20,0.1
0.1,0.013075857952535299,0.19409077035953629,NA,total,20,0.1
0.2,-0.009489356530935042,0.16194349844366132,NA,total,20,0.1
0.5,-0.04041846106147777,0.09634981786804007,NA,total,20,0.1
1,-0.011861392734437676,0.1323130523520765,NA,total,20,0.1
0.01,0.013100860856543677,0.03177659966509504,NA,sample,20,0.1
0.02,0.021370656772543843,0.05757039048480057,NA,sample,20,0.1
0.05,0.02826989272961514,0.10859436444171777,NA,sample,20,0.1
0.1,0.017771689770252806,0.13888997464849093,NA,sample,20,0.1
0.2,-0.015407969140348003,0.14193355579222278,NA,sample,20,0.1
0.5,-0.04598125850142949,0.08996724060371313,NA,sample,20,0.1
1,-0.030246024099513012,0.06610174275069929,NA,sample,20,0.1
0.01,0.03438055143671027,0.1996588273111308,NA,corr,20,0.1
0.02,0.021631843684932237,0.16864194053866657,NA,corr,20,0.1
0.05,-0.003414852733850858,0.12154989037135598,NA,corr,20,0.1
0.1,-0.004701593287929181,0.0742560955963933,NA,corr,20,0.1
0.2,0.00591947141828172,0.05902138580819791,NA,corr,20,0.1
0.5,0.005560672100338096,0.06607842817169671,NA,corr,20,0.1
1,0.018341187757044918,0.08498919691039977,NA,corr,20,0.1
0.01,0.023496111789043535,0.17612270374847275,NA,total,20,0.2
0.02,0.020797628739817792,0.16009067096280138,NA,total,20,0.2
0.05,0.00749962304883719,0.15681245790999226,NA,total,20,0.2
0.1,-0.007843148612728036,0.15515734034055773,NA,total,20,0.2
0.2,-0.0031332712849502513,0.12654246429482252,NA,total,20,0.2
0.5,-0.03794485290675077,0.08308677051271447,NA,total,20,0.2
1,-0.006978863191496357,0.11951349403321712,NA,total,20,0.2
0.01,0.0054400876844555674,0.017470400552854985,NA,sample,20,0.2
0.02,0.00873759739241058,0.032233498626323305,NA,sample,20,0.2
0.05,0.013380633664472069,0.06861353074131342,NA,sample,20,0.2
0.1,0.0084680554070018,0.09750260987841643,NA,sample,20,0.2
0.2,-0.007908670044860787,0.10809502106430247,NA,sample,20,0.2
0.5,-0.03557154559765249,0.07768196166093409,NA,sample,20,0.2
1,-0.02353753295650386,0.05894608789981943,NA,sample,20,0.2
0.01,0.018056375097110822,0.16104228916360633,NA,corr,20,0.2
0.02,0.012055207671336261,0.13253305129562268,NA,corr,20,0.2
0.05,-0.00588330837221448,0.10272671194259446,NA,corr,20,0.2
0.1,-0.01631540410750919,0.07700222392914105,NA,corr,20,0.2
0.2,0.0047801213408868795,0.047786177386756674,NA,corr,20,0.2
0.5,-0.002363566506437155,0.049484105977477356,NA,corr,20,0.2
1,0.016565532513672553,0.0790617846791199,NA,corr,20,0.2
0.01,0.004774553897262274,0.10917850817501303,NA,total,20,0.5
0.02,0.010550059619398859,0.11401623468227967,NA,total,20,0.5
0.05,0.005304197823111862,0.11750577703100361,NA,total,20,0.5
0.1,-6.713251584935416e-4,0.10839678434648242,NA,total,20,0.5
0.2,-0.024391460251531105,0.08627888547499643,NA,total,20,0.5
0.5,-0.020722943866933036,0.0613044223940912,NA,total,20,0.5
1,-0.010235340570518045,0.09489033663024142,NA,total,20,0.5
0.01,6.51609519198606e-4,0.0075601278879344255,NA,sample,20,0.5
0.02,0.003069058106617162,0.01583393988420611,NA,sample,20,0.5
0.05,0.005397954104032205,0.03307529343629083,NA,sample,20,0.5
0.1,0.007358118047394542,0.05596957818611861,NA,sample,20,0.5
0.2,-0.009066828358424444,0.06736198440909662,NA,sample,20,0.5
0.5,-0.016311656873845327,0.05634299800921538,NA,sample,20,0.5
1,-0.012754595237616944,0.05496318347559961,NA,sample,20,0.5
0.01,0.004120761065907325,0.10230015116602634,NA,corr,20,0.5
0.02,0.007477587084307567,0.10079646145444741,NA,corr,20,0.5
0.05,-1.027919237079275e-4,0.08978962976511033,NA,corr,20,0.5
0.1,-0.00803768097339542,0.06624127667545851,NA,corr,20,0.5
0.2,-0.015324566535952253,0.03982128532605571,NA,corr,20,0.5
0.5,-0.004411809167803301,0.04364428931947471,NA,corr,20,0.5
1,0.002495111553997465,0.052201172763366825,NA,corr,20,0.5
0.01,-8.508808693659045e-4,0.09430937584735614,NA,total,20,1
0.02,0.004432851406692803,0.0943170812957795,NA,total,20,1
0.05,-0.004440293329352403,0.08278204661686056,NA,total,20,1
0.1,0.003545339015970648,0.07585526486727924,NA,total,20,1
0.2,-0.011096069634452461,0.07139541996442127,NA,total,20,1
0.5,-0.00948315369972721,0.060122104440355484,NA,total,20,1
1,0.0038327922722071577,0.09725393037437265,NA,total,20,1
0.01,0.0012738600500897335,0.005514900312348918,NA,sample,20,1
0.02,0.0011101687859782791,0.008495793703132604,NA,sample,20,1
0.05,0.0022323872335277824,0.021513219760324876,NA,sample,20,1
0.1,0.0015453520313516438,0.03139436767340632,NA,sample,20,1
0.2,-5.977204962179775e-4,0.043857012719297865,NA,sample,20,1
0.5,-0.009465260378106414,0.04267959306715358,NA,sample,20,1
1,-0.013465470252222595,0.0600481575852659,NA,sample,20,1
0.01,-0.0021260271565277464,0.08972018611480649,NA,corr,20,1
0.02,0.003321289702244909,0.08755344710079607,NA,corr,20,1
0.05,-0.006677763756672068,0.06360552410571885,NA,corr,20,1
0.1,0.001987132528163569,0.051320618463558086,NA,corr,20,1
0.2,-0.010497346671514116,0.0390200099703491,NA,corr,20,1
0.5,-1.824561322051928e-5,0.04927261256001544,NA,corr,20,1
1,0.017304485080249878,0.05116304864166243,NA,corr,20,1
0.01,-5.79456361211434e-4,0.03164452396522991,NA,total,20,10
0.02,-0.005705731059042482,0.047207015260500244,NA,total,20,10
0.05,0.0021397152016316805,0.03661265915977707,NA,total,20,10
0.1,3.00633915187978e-5,0.0270352504243643,NA,total,20,10
0.2,-0.008454663573830377,0.03726506258687191,NA,total,20,10
0.5,0.008969954439877378,0.06808932443921314,NA,total,20,10
1,0.01013002952232664,0.07624289220475454,NA,total,20,10
0.01,1.230902877746059e-4,0.0014812440423161233,NA,sample,20,10
0.02,3.96113998309423e-4,0.001993841847447331,NA,sample,20,10
0.05,-6.616644135451242e-4,0.004146608885338661,NA,sample,20,10
0.1,-3.7947362668137364e-4,0.002621505845311545,NA,sample,20,10
0.2,-0.002821052934165545,0.01094575718053706,NA,sample,20,10
0.5,0.002861644429582389,0.03201754220939813,NA,sample,20,10
1,0.008856253202078508,0.04168742861204922,NA,sample,20,10
0.01,-7.042013433341422e-4,0.031314993080605605,NA,corr,20,10
0.02,-0.006105913466262645,0.04645261116333911,NA,corr,20,10
0.05,0.002798571707288029,0.033890927973181446,NA,corr,20,10
0.1,4.1159585833012904e-4,0.02567851846888478,NA,corr,20,10
0.2,-0.005646305066616219,0.034060238701506665,NA,corr,20,10
0.5,0.006088490646372035,0.04220780103776909,NA,corr,20,10
1,0.0012581926827133112,0.040541406791941445,NA,corr,20,10
0.01,0.0629667646662679,0.24496186862187228,NA,total,50,0.05
0.02,0.058306895262882456,0.22197854341018808,NA,total,50,0.05
0.05,0.020445419419756822,0.22606149646539184,NA,total,50,0.05
0.1,0.014120286511454474,0.19584292213629054,NA,total,50,0.05
0.2,-0.018663605227505126,0.13727381839269395,NA,total,50,0.05
0.5,-0.023936711133477787,0.07011111253213442,NA,total,50,0.05
1,-0.012349565219154325,0.08787184393316243,NA,total,50,0.05
0.01,0.029950927919381694,0.06194703324786055,NA,sample,50,0.05
0.02,0.04624943409032024,0.10436196357253083,NA,sample,50,0.05
0.05,0.038976997081762096,0.14660212914359044,NA,sample,50,0.05
0.1,0.018168794862013945,0.1530127539773539,NA,sample,50,0.05
0.2,-0.006417891753179601,0.1281386168373499,NA,sample,50,0.05
0.5,-0.031923691273681366,0.06879399368768885,NA,sample,50,0.05
1,-0.013413233920571817,0.045080234854033896,NA,sample,50,0.05
0.01,0.03301490589142286,0.189523877226202,NA,corr,50,0.05
0.02,0.012056155837564126,0.13392069250940403,NA,corr,50,0.05
0.05,-0.01853530021098852,0.09325233322170601,NA,corr,50,0.05
0.1,-0.004046085393065228,0.06419560374995865,NA,corr,50,0.05
0.2,-0.012234096814582122,0.047309413578804096,NA,corr,50,0.05
0.5,0.007977788114661538,0.0465215003161748,NA,corr,50,0.05
1,0.001060579472817308,0.052687792047306996,NA,corr,50,0.05
0.01,0.04235082003200364,0.19765625954690932,NA,total,50,0.1
0.02,0.03000552123332913,0.18295434357432971,NA,total,50,0.1
0.05,0.030292546845901457,0.17288423563834063,NA,total,50,0.1
0.1,0.022055248064010383,0.1594510455857899,NA,total,50,0.1
0.2,-0.007466469584216082,0.12177678678073593,NA,total,50,0.1
0.5,-0.02029110352053087,0.07539102298284808,NA,total,50,0.1
1,-0.004358303655146316,0.06909051497823467,NA,total,50,0.1
0.01,0.016497356786008728,0.03695721158396286,NA,sample,50,0.1
0.02,0.022494964812043446,0.061669704360602005,NA,sample,50,0.1
0.05,0.02597815544522894,0.10254001727564233,NA,sample,50,0.1
0.1,0.009655571655857384,0.12179914947285553,NA,sample,50,0.1
0.2,-0.006913431418925951,0.1110174620223062,NA,sample,50,0.1
0.5,-0.021750744972807164,0.05732444519070406,NA,sample,50,0.1
1,-0.006458985126688,0.03844430554109049,NA,sample,50,0.1
0.01,0.02585063978190025,0.16504125021875496,NA,corr,50,0.1
0.02,0.007508388866770557,0.12822340884999367,NA,corr,50,0.1
0.05,0.004316902739757442,0.08078310499250191,NA,corr,50,0.1
0.1,0.012391954764253707,0.060035465419017046,NA,corr,50,0.1
0.2,-5.521467132417846e-4,0.046867945509368916,NA,corr,50,0.1
0.5,0.0014609061513210567,0.05376950981896474,NA,corr,50,0.1
1,0.00210895067312176,0.042386633688981,NA,corr,50,0.1
0.01,0.024500892280549767,0.14746543971843995,NA,total,50,0.2
0.02,0.02588810167620457,0.14123126531645103,NA,total,50,0.2
0.05,0.01604496423967552,0.13430051135989549,NA,total,50,0.2
0.1,0.005656377841500415,0.1412745845502969,NA,total,50,0.2
0.2,0.004805663652099125,0.10818423698014774,NA,total,50,0.2
0.5,-0.01360950599818373,0.048453885834754795,NA,total,50,0.2
1,0.017829785689732557,0.08348792200572681,NA,total,50,0.2
0.01,0.007044175021137738,0.019454673845586745,NA,sample,50,0.2
0.02,0.013853715854432005,0.0380654143412813,NA,sample,50,0.2
0.05,0.014787827010142269,0.0696253686311401,NA,sample,50,0.2
0.1,0.015720997091654757,0.09492063266931766,NA,sample,50,0.2
0.2,-0.0028286768838491246,0.08742150048041049,NA,sample,50,0.2
0.5,-0.017719744941369613,0.046978316818443965,NA,sample,50,0.2
1,0.006134226879039737,0.04060796340409894,NA,sample,50,0.2
0.01,0.017455800373140262,0.1300300584737829,NA,corr,50,0.2
0.02,0.012033421649275641,0.10816564442916082,NA,corr,50,0.2
