"nch","z","D","x","S","babs","pabs","sig_abs","zmax","pz","sig_z"
50,0.1,0.1,0.158113883008419,0.01,0.00556246428241164,"S",TRUE,0.0532121159042047,"baseline",TRUE
50,0.1,0.2,0.223606797749979,0.01,0.0137997294572789,"S",TRUE,0.0807429845243941,"S",TRUE
50,0.1,0.5,0.353553390593274,0.01,0.0145566635859472,"S",TRUE,0.0487909812832464,"S",TRUE
50,0.1,1,0.5,0.01,0.00954185395323361,"N_ch",TRUE,0.0366476023025078,"k_off",TRUE
50,0.2,0.01,0.1,0.02,0.00337785798151645,"baseline",TRUE,0.0828120205085373,"baseline",TRUE
50,0.2,0.02,0.14142135623731,0.02,0.00420964545702421,"N_ch",FALSE,0.0602579083138953,"baseline",TRUE
50,0.2,0.05,0.223606797749979,0.02,0.0032304866663211,"N_ch",FALSE,0.0488543086912725,"baseline",TRUE
50,0.2,0.1,0.316227766016838,0.02,0.00278740065358201,"S",TRUE,0.0449992274152983,"baseline",TRUE
50,0.2,0.2,0.447213595499958,0.02,0.00788605676516215,"S",TRUE,0.0481552303097311,"S",TRUE
50,0.2,0.5,0.707106781186548,0.02,0.0133436384710181,"S",TRUE,0.0454464052464948,"S",TRUE
50,0.2,1,1,0.02,0.00490393261584417,"N_ch",FALSE,0.0185751717935758,"k_off",FALSE
50,0.5,0.01,0.25,0.05,0.00271882670722094,"baseline",TRUE,0.0423624520272426,"baseline",TRUE
50,0.5,0.02,0.353553390593274,0.05,0.00261777645296744,"baseline",TRUE,0.0406493124934155,"baseline",TRUE
50,0.5,0.05,0.559016994374947,0.05,0.0054156269992776,"N_ch",TRUE,0.0296869688025483,"baseline",TRUE
50,0.5,0.1,0.790569415042095,0.05,0.0035131945498275,"baseline",TRUE,0.0542442758520299,"baseline",TRUE
50,0.5,0.2,1.11803398874989,0.05,0.00857531315030117,"S",TRUE,0.056240952357478,"S",TRUE
50,0.5,0.5,1.76776695296637,0.05,0.0112438565661137,"S",TRUE,0.0399043480647543,"S",TRUE
50,0.5,1,2.5,0.05,0.0125770818036439,"N_ch",TRUE,0.0358339329464637,"N_ch",TRUE
50,1,0.01,0.5,0.1,0.00290471906160769,"k_on",FALSE,0.01837781092195,"baseline",FALSE
50,1,0.02,0.707106781186547,0.1,0.00395546958527171,"baseline",TRUE,0.0437508134963652,"baseline",TRUE
50,1,0.05,1.11803398874989,0.1,0.00150948264188553,"N_ch",FALSE,0.0144871310998509,"k_off",FALSE
50,1,0.1,1.58113883008419,0.1,0.00267993633045459,"N_ch",FALSE,0.016020952444685,"baseline",FALSE
50,1,0.2,2.23606797749979,0.1,0.00585000908241801,"S",TRUE,0.0406702234126587,"S",TRUE
50,1,0.5,3.53553390593274,0.1,0.00595657894198379,"S",TRUE,0.0221387981542315,"S",TRUE
50,1,1,5,0.1,0.00650496672823745,"N_ch",FALSE,0.0211319352032407,"i",TRUE
50,10,0.01,5,1,0.00819497639980935,"k_on",TRUE,0.0267893604933941,"k_on",TRUE
50,10,0.02,7.07106781186548,1,0.00596067164491017,"k_on",FALSE,0.0195473785154188,"k_on",FALSE
50,10,0.05,11.1803398874989,1,0.00948207155190443,"N_ch",TRUE,0.0251536513257298,"N_ch",TRUE
