interval_in_tau,param_index,m,lo,hi,se,nch,z
0.2,0,-0.00840254254257987,-0.01568042135141504,0.00109196172052949,0.37903998800976607,10,0.05
0.2,1,0.01861164031195759,0.01496127750579042,0.02142515833428693,0.1799691350481998,10,0.05
0.2,2,-0.01301253685830697,-0.01572547607399826,-0.01048659116903394,0.18623177025507576,10,0.05
0.2,3,-0.03039075046021358,-0.03284632680948633,-0.02718261213647869,0.15315709637769814,10,0.05
0.2,4,0.00114662153113819,7.9752111896367e-4,0.00143755004873669,0.018320082809131895,10,0.05
0.2,5,0.02643558831050222,0.01924111644258312,0.03390093028145433,0.3927378986096913,10,0.05
0.1,0,-0.00814547044220064,-0.01494240356942259,8.2002369189841e-4,0.33012329204531965,10,0.05
0.1,1,0.01410899042303823,0.01030126052572935,0.01756314685356319,0.1711872804121502,10,0.05
0.1,2,-0.00714401222055458,-0.00987024413232132,-0.00377075703299848,0.17279837235551274,10,0.05
0.1,3,-0.01734400058385299,-0.01899237875219604,-0.01592864783394645,0.09821378366900595,10,0.05
0.1,4,0.00143450653080549,0.00108453785949001,0.0017404751205078,0.01812934851579008,10,0.05
0.1,5,0.01729290136380654,0.01043572945696859,0.02531777078349269,0.34572912158432434,10,0.05
0.05,0,-0.0077846881184971,-0.01438179131892413,-0.00189268669843907,0.2886447364680247,10,0.05
0.05,1,0.01234118353561398,0.00867191098343127,0.01588965215156404,0.1651266523537724,10,0.05
0.05,2,-0.00535984339590804,-0.00902096332458384,-0.00231376779493806,0.1645788183065272,10,0.05
0.05,3,-0.0066499482378307,-0.00799986657531651,-0.00550933166922447,0.06149955074222348,10,0.05
0.05,4,0.0021480126981211,0.00180615065381424,0.00244749229351608,0.018019797296929287,10,0.05
0.05,5,0.01337422678383395,0.00750593128888259,0.02111297456757284,0.3046987373578833,10,0.05
0.02,0,-0.01188278468769731,-0.01644710831789281,-0.0061189808263553,0.24144212838307108,10,0.05
0.02,1,0.0057960257327786,0.00196541502541938,0.00927508179175161,0.159133579206343,10,0.05
0.02,2,3.3155302472219e-4,-0.00228050958891309,0.00291075452213064,0.15579146034139854,10,0.05
0.02,3,-0.00249941517775427,-0.0031105975927391,-0.00166966916478826,0.033061966535274184,10,0.05
0.02,4,0.00331131424000483,0.00289220265407999,0.00367296177087061,0.017941300062125933,10,0.05
0.02,5,0.00592962998425439,0.00107582538501564,0.01044108768475024,0.25397900579934574,10,0.05
0.01,0,-0.00851758176037927,-0.01221683327863683,-0.00417594599277832,0.23150444091697708,10,0.05
0.01,1,0.00598455134956116,0.00136880848099315,0.01007517190591848,0.15822669853627205,10,0.05
0.01,2,3.763850602088743e-6,-0.0026454662805879,0.00323571166659138,0.1543144660871964,10,0.05
0.01,3,-0.00115657859759565,-0.00159366171650648,-6.7270338972809e-4,0.021539831375191172,10,0.05
0.01,4,0.00358091772182242,0.00319351340199224,0.00400918214658177,0.017964960045516103,10,0.05
0.01,5,0.00594460005469676,0.00182861539283219,0.00963502808001362,0.2423282804278431,10,0.05
1,0,-0.02759380788753672,-0.0369743607121773,-0.01904397693823254,0.47816843712138446,10,0.1
1,1,0.01962709500364114,0.01642632944783014,0.0229456256528494,0.17967310161980612,10,0.1
1,2,-0.02884716095351765,-0.03450124211294346,-0.02224287314546097,0.2840805733481147,10,0.1
1,3,-0.03051405772655965,-0.03976482925355,-0.02311983094496643,0.4156716199752444,10,0.1
1,4,5.6170271589637e-4,4.7248588978554e-5,0.00108946368026974,0.02872365327557273,10,0.1
1,5,0.0531507944029864,0.04179857828604186,0.06177204288129356,0.5033172125558819,10,0.1
0.5,0,-0.02157298887994368,-0.0320780092895449,-0.01195031848544638,0.4320929473802883,10,0.1
0.5,1,0.02161083660978702,0.01707682222582574,0.02447274145208622,0.1844199136798458,10,0.1
