nch,z,interval,mahal,note
10000,0.1,0.1,0.013193151930763633,
10000,0.1,0.2,0.011590650381275136,
10000,0.1,0.5,0.02245069544360058,
10000,0.1,1,0.028344190982229116,
10000,0.2,0.01,0.03094185530827281,
10000,0.2,0.02,0.02361343230393018,
10000,0.2,0.05,0.03638937110627448,
10000,0.2,0.1,0.029608030086271477,
10000,0.2,0.2,0.022563063162428475,
10000,0.2,0.5,0.032311319261448174,
10000,0.2,1,0.021047503270711837,
10000,0.5,0.01,0.016026817080475514,
10000,0.5,0.02,0.03355493686578389,
10000,0.5,0.05,0.025109925425998394,
10000,0.5,0.1,0.025966340684471772,
10000,0.5,0.2,0.023248737792435942,
10000,0.5,0.5,0.02018628066199492,
10000,0.5,1,0.016436499050455244,
10000,1,0.01,0.03260003165589905,
10000,1,0.02,0.018825175210267314,
10000,1,0.05,0.04079454075909311,
10000,1,0.1,0.026645985582016602,
10000,1,0.2,0.016341168934979302,
10000,1,0.5,0.015214017377918155,
10000,1,1,0.030766168651529858,
10000,10,0.01,0.018804970563731684,
10000,10,0.02,0.027778722489279005,
10000,10,0.05,0.01816858341617107,
10000,10,0.1,0.017718407605233615,
10000,10,0.2,0.024898269920481605,
10000,10,0.5,0.02223016541735926,
10000,10,1,0.027329671818442276,
10000,100,0.01,0.015324286218773766,
10000,100,0.02,0.031219723872297343,
10000,100,0.05,0.015548026008281339,
10000,100,0.1,0.020760195881159314,
10000,100,0.2,0.018964527075843046,
10000,100,0.5,0.01927518284796718,
10000,100,1,0.023833918483113913,
10000,1000,0.01,0.019493893709235238,
10000,1000,0.02,0.01708164077540217,
10000,1000,0.05,0.02067007837913921,
10000,1000,0.1,0.022864660205112068,
10000,1000,0.2,0.01898733088236804,
10000,1000,0.5,0.015810764267486985,
10000,1000,1,0.02537633866109969,
10000,10000,0.01,0.023758822525429015,
10000,10000,0.02,0.02450337279380896,
10000,10000,0.05,0.027624800398298573,
10000,10000,0.1,0.021399924455955767,
10000,10000,0.2,0.03758399822606412,
10000,10000,0.5,0.018463298723946222,
10000,10000,1,0.025686646102012187,
10000,100000,0.01,0.019841310399062968,
10000,100000,0.02,0.020406525607987804,
10000,100000,0.05,0.02894836313607609,
10000,100000,0.1,0.032326436246214695,
10000,100000,0.2,0.01948025117964337,
10000,100000,0.5,0.026377746519297193,
10000,100000,1,0.01944151138562192,
10000,1000000,0.01,0.03913043769607759,
10000,1000000,0.02,0.024123156629417716,
10000,1000000,0.05,0.04429494135238103,
10000,1000000,0.1,0.02036012881932809,
10000,1000000,0.2,0.035404629951149326,
10000,1000000,0.5,0.029352906883145628,
10000,1000000,1,0.03243000680629539,
10000,10000000,0.01,0.031643708517083834,
10000,10000000,0.02,0.012741340892264951,
10000,10000000,0.05,0.018088829347951405,
10000,10000000,0.1,0.021928779347546286,
10000,10000000,0.2,0.0261848891574236,
10000,10000000,0.5,0.01617822887248359,
10000,10000000,1,0.026726465727610747,
