i_step,time,i_sub_step,number_of_samples,ATP_concentration
345,243.272390000001,0,163.0,0.0
346,243.276080000001,0,206.0,0.0
347,243.280730000001,0,259.0,0.0
348,243.286580000001,0,326.0,0.0
349,243.293940000001,0,410.0,0.0
350,243.303210000001,0,517.0,0.0
351,243.314880000001,0,650.0,0.0
352,243.329570000001,0,819.0,0.0
353,243.348070000001,0,1031.0,0.0
354,243.371360000001,0,1298.0,0.0
355,243.400670000001,0,1633.0,0.0
356,243.437570000001,0,2057.0,0.0
357,243.484030000001,0,2589.0,0.0
358,243.542520000002,0,3260.0,0.0
359,243.616160000002,0,4104.0,0.0
360,243.708860000002,0,5166.0,0.0
361,243.825560000002,0,6504.0,0.0
362,243.972480000002,0,8188.0,0.0
363,244.157440000002,0,10308.0,0.0
364,244.390290000002,0,12977.0,0.0
365,244.683430000002,0,16337.0,0.0
366,245.052470000002,0,20567.0,0.0
367,245.517070000002,0,25893.0,0.0
368,246.081350000002,0,30535.0,0.0
369,274.886700000001,0,2850000.0,0.0
370,303.389200000001,0,0.0,0.0
370,303.389200000001,1,250.0,1000.0
371,303.394200000001,0,250.0,1000.0
372,333.391700000001,0,2999500.0,0.0
373,363.393550000001,0,685.0,0.0
374,363.407250000001,0,685.0,0.0
375,363.420940000001,0,684.0,0.0
376,363.434630000001,0,685.0,0.0
377,363.448330000001,0,685.0,0.0
378,363.462030000001,0,685.0,0.0
379,363.475720000001,0,684.0,0.0
380,363.489410000001,0,685.0,0.0
381,363.503110000001,0,685.0,0.0
382,363.516810000001,0,685.0,0.0
383,363.530510000001,0,685.0,0.0
384,363.544200000001,0,684.0,0.0
385,363.557890000001,0,685.0,0.0
386,363.571590000001,0,685.0,0.0
387,363.585290000001,0,685.0,0.0
388,363.5989800000009,0,684.0,0.0
389,363.6126700000009,0,685.0,0.0
390,363.626370000001,0,685.0,0.0
391,363.640070000001,0,685.0,0.0
392,363.653770000001,0,685.0,0.0
393,363.667460000001,0,684.0,0.0
394,363.681150000001,0,685.0,0.0
395,363.694850000001,0,685.0,0.0
396,363.708550000001,0,685.0,0.0
397,363.722250000001,0,685.0,0.0
398,363.735940000001,0,684.0,0.0
399,363.749630000001,0,685.0,0.0
400,363.763330000001,0,685.0,0.0
401,363.777030000001,0,685.0,0.0
402,363.790720000001,0,684.0,0.0
403,363.804410000001,0,685.0,0.0
404,363.818110000001,0,685.0,0.0
